,index,sample_size_method,num_trees,max_depth,feat_choice,fold_num,auc
91,1,sqrt,100,1000,sqrt,2,0.7001431988063005
92,2,sqrt,100,1000,sqrt,3,0.6593772245531344
93,3,sqrt,100,1000,sqrt,4,0.6262419184955766
94,4,sqrt,100,1000,sqrt,5,0.6424793768836222
95,0,sqrt,100,1000,half_sqrt,1,0.611770442943641
96,1,sqrt,100,1000,half_sqrt,2,0.6583096409299618
97,2,sqrt,100,1000,half_sqrt,3,0.6521350190839694
98,3,sqrt,100,1000,half_sqrt,4,0.60558362546026
99,4,sqrt,100,1000,half_sqrt,5,0.5770365755130221
100,0,sqrt,100,1000,2sqrt,1,0.5930692184928987
101,1,sqrt,100,1000,2sqrt,2,0.7044103581536737
102,2,sqrt,100,1000,2sqrt,3,0.675157669416574
103,3,sqrt,100,1000,2sqrt,4,0.6143523399467904
104,4,sqrt,100,1000,2sqrt,5,0.6834036580355983
105,0,sqrt,100,3000,sqrt,1,0.6641191949431775
106,1,sqrt,100,3000,sqrt,2,0.7001431988063005
107,2,sqrt,100,3000,sqrt,3,0.6593772245531344
108,3,sqrt,100,3000,sqrt,4,0.6262419184955766
109,4,sqrt,100,3000,sqrt,5,0.6424793768836222
110,0,sqrt,100,3000,half_sqrt,1,0.611770442943641
111,1,sqrt,100,3000,half_sqrt,2,0.6583096409299618
112,2,sqrt,100,3000,half_sqrt,3,0.6521350190839694
113,3,sqrt,100,3000,half_sqrt,4,0.60558362546026
114,4,sqrt,100,3000,half_sqrt,5,0.5770365755130221
115,0,sqrt,100,3000,2sqrt,1,0.5930692184928987
116,1,sqrt,100,3000,2sqrt,2,0.7044103581536737
117,2,sqrt,100,3000,2sqrt,3,0.675157669416574
118,3,sqrt,100,3000,2sqrt,4,0.6143523399467904
119,4,sqrt,100,3000,2sqrt,5,0.6834036580355983
120,0,sqrt,300,100,sqrt,1,0.672543631838684
121,1,sqrt,300,100,sqrt,2,0.6873192327737782
122,2,sqrt,300,100,sqrt,3,0.6638926039675241
123,3,sqrt,300,100,sqrt,4,0.6461375900977396
124,4,sqrt,300,100,sqrt,5,0.6445560384244712
125,0,sqrt,300,100,half_sqrt,1,0.6308194806056759
126,1,sqrt,300,100,half_sqrt,2,0.6635195271558908
127,2,sqrt,300,100,half_sqrt,3,0.649236506399972
128,3,sqrt,300,100,half_sqrt,4,0.6306284553190686
129,4,sqrt,300,100,half_sqrt,5,0.5809918846718399
130,0,sqrt,300,100,2sqrt,1,0.6761223935276337
131,1,sqrt,300,100,2sqrt,2,0.6999876568726836
132,2,sqrt,300,100,2sqrt,3,0.7055541867438205
133,3,sqrt,300,100,2sqrt,4,0.6657477472195716
134,4,sqrt,300,100,2sqrt,5,0.6816559177505248
135,0,sqrt,300,500,sqrt,1,0.672543631838684
136,1,sqrt,300,500,sqrt,2,0.6873192327737782
137,2,sqrt,300,500,sqrt,3,0.6638926039675241
138,3,sqrt,300,500,sqrt,4,0.6461375900977396
139,4,sqrt,300,500,sqrt,5,0.6445560384244712
140,0,sqrt,300,500,half_sqrt,1,0.6308194806056759
141,1,sqrt,300,500,half_sqrt,2,0.6635195271558908
142,2,sqrt,300,500,half_sqrt,3,0.649236506399972
143,3,sqrt,300,500,half_sqrt,4,0.6306284553190686
144,4,sqrt,300,500,half_sqrt,5,0.5809918846718399
145,0,sqrt,300,500,2sqrt,1,0.6761223935276337
146,1,sqrt,300,500,2sqrt,2,0.6999876568726836
147,2,sqrt,300,500,2sqrt,3,0.7055541867438205
148,3,sqrt,300,500,2sqrt,4,0.6657477472195716
149,4,sqrt,300,500,2sqrt,5,0.6816559177505248
150,0,sqrt,300,1000,sqrt,1,0.672543631838684
151,1,sqrt,300,1000,sqrt,2,0.6873192327737782
152,2,sqrt,300,1000,sqrt,3,0.6638926039675241
153,3,sqrt,300,1000,sqrt,4,0.6461375900977396
154,4,sqrt,300,1000,sqrt,5,0.6445560384244712
155,0,sqrt,300,1000,half_sqrt,1,0.6308194806056759
156,1,sqrt,300,1000,half_sqrt,2,0.6635195271558908
157,2,sqrt,300,1000,half_sqrt,3,0.649236506399972
158,3,sqrt,300,1000,half_sqrt,4,0.6306284553190686
159,4,sqrt,300,1000,half_sqrt,5,0.5809918846718399
160,0,sqrt,300,1000,2sqrt,1,0.6761223935276337
161,1,sqrt,300,1000,2sqrt,2,0.6999876568726836
162,2,sqrt,300,1000,2sqrt,3,0.7055541867438205
163,3,sqrt,300,1000,2sqrt,4,0.6657477472195716
164,4,sqrt,300,1000,2sqrt,5,0.6816559177505248
165,0,sqrt,300,3000,sqrt,1,0.672543631838684
166,1,sqrt,300,3000,sqrt,2,0.6873192327737782
167,2,sqrt,300,3000,sqrt,3,0.6638926039675241
168,3,sqrt,300,3000,sqrt,4,0.6461375900977396
169,4,sqrt,300,3000,sqrt,5,0.6445560384244712
170,0,sqrt,300,3000,half_sqrt,1,0.6308194806056759
171,1,sqrt,300,3000,half_sqrt,2,0.6635195271558908
172,2,sqrt,300,3000,half_sqrt,3,0.649236506399972
173,3,sqrt,300,3000,half_sqrt,4,0.6306284553190686
174,4,sqrt,300,3000,half_sqrt,5,0.5809918846718399
175,0,sqrt,300,3000,2sqrt,1,0.6761223935276337
176,1,sqrt,300,3000,2sqrt,2,0.6999876568726836
177,2,sqrt,300,3000,2sqrt,3,0.7055541867438205
178,3,sqrt,300,3000,2sqrt,4,0.6657477472195716
179,4,sqrt,300,3000,2sqrt,5,0.6816559177505248
180,0,half,50,100,sqrt,1,0.6991432988745997
181,1,half,50,100,sqrt,2,0.706795685405311
182,2,half,50,100,sqrt,3,0.6768590523134005
183,3,half,50,100,sqrt,4,0.6641164525076417
184,4,half,50,100,sqrt,5,0.6725578054734299
185,0,half,50,100,half_sqrt,1,0.6582700034499163
186,1,half,50,100,half_sqrt,2,0.6526275911302649
187,2,half,50,100,half_sqrt,3,0.6250292815232661
188,3,half,50,100,half_sqrt,4,0.5766509720043344
