,threshold,tpr,fpr,accuracy,f1-measure,precision,recall
0,0.0,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0
1,0.01,0.9547511312217195,0.5470737913486005,0.5094683175528041,0.3048818247497162,0.18140506018177352,0.9547511312217195
2,0.02,0.9256625727213963,0.48091603053435117,0.5648943918426803,0.32405521611224253,0.19640652859690028,0.9256625727213963
3,0.03,0.9088558500323206,0.4430764179594517,0.5965768390386016,0.3367261405819662,0.20664315108759554,0.9088558500323206
4,0.04,0.8946347769877182,0.417549043749487,0.6176256372906045,0.34522324769269147,0.21387729871735436,0.8946347769877182
5,0.05,0.8823529411764706,0.3971107280636953,0.6343772760378733,0.35225806451612907,0.22005481218765113,0.8823529411764706
6,0.06,0.8745959922430511,0.38011983912008535,0.6485797523670794,0.3593148320276192,0.2261029411764706,0.8745959922430511
7,0.07,0.8668390433096316,0.3676434375769515,0.65877640203933,0.36405592507126366,0.2304123711340206,0.8668390433096316
8,0.08,0.859082094376212,0.3547566280883198,0.6693372177713037,0.36926924145595996,0.23517961422757033,0.859082094376212
9,0.09,0.8552036199095022,0.34293687925798244,0.679388201019665,0.3754256526674234,0.24050172695873479,0.8552036199095022
10,0.1,0.8493859082094376,0.33415414922432896,0.6865258557902404,0.3791113675706867,0.24401114206128133,0.8493859082094376
11,0.11,0.848093083387201,0.32652056143806946,0.6931536780772032,0.3837940617229779,0.24801512287334593,0.848093083387201
12,0.12,0.8448610213316096,0.3207748502010999,0.6978878368536052,0.3865720201123928,0.25062320230105467,0.8448610213316096
13,0.13,0.8416289592760181,0.3153574653205286,0.7023306627822287,0.38917949484382003,0.2531104199066874,0.8416289592760181
14,0.14,0.8390433096315449,0.31010424361815647,0.7067006554989075,0.39196738638079415,0.2557131599684791,0.8390433096315449
15,0.15,0.8319327731092437,0.3042764507920873,0.7110706482155863,0.3935178107323039,0.2577092511013216,0.8319327731092437
16,0.16,0.8280542986425339,0.2987769843224165,0.7155134741442097,0.39610389610389607,0.2603129445234708,0.8280542986425339
17,0.17,0.8241758241758241,0.2952474759911352,0.7182083029861617,0.3972581398971803,0.2616995073891626,0.8241758241758241
18,0.18,0.821590174531351,0.29040466223426087,0.7222141296431173,0.3999370673379483,0.2642961114576835,0.821590174531351
19,0.19,0.8157724628312863,0.28662890913568084,0.7249089584850692,0.40057133788287574,0.2654606647034077,0.8157724628312863
20,0.2,0.8118939883645766,0.28342772716079784,0.7273124544792425,0.4015345268542199,0.26672329581652154,0.8118939883645766
