,threshold,tpr,fpr,accuracy,f1-measure,precision,recall,learning_rate
0,0.0,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.01
1,0.01,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.01
2,0.02,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.01
3,0.03,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.01
4,0.04,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.01
5,0.05,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.01
6,0.06,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.01
7,0.07,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.01
8,0.08,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.01
9,0.09,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.01
10,0.1,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.01
11,0.11,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.01
12,0.12,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.01
13,0.13,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.01
14,0.14,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.01
15,0.15,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.01
16,0.16,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.01
17,0.17,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.01
18,0.18,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.01
19,0.19,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.01
20,0.2,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.01
21,0.21,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.01
22,0.22,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.01
23,0.23,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.01
24,0.24,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.01
25,0.25,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.01
26,0.26,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.01
27,0.27,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.01
28,0.28,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.01
29,0.29,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.01
30,0.3,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.01
31,0.31,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.01
32,0.32,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.01
33,0.33,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.01
34,0.34,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.01
35,0.35,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.01
36,0.36,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.01
37,0.37,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.01
38,0.38,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.01
39,0.39,1.0,0.999425428876303,0.11318281136198106,0.2026195153896529,0.1127304525249581,1.0,0.01
40,0.4,0.9993535875888817,0.9832553558236887,0.12745812090313183,0.20514861995753714,0.11430683918669131,0.9993535875888817,0.01
41,0.41,0.9993535875888817,0.9388492161208241,0.16686088856518572,0.21278645654118777,0.11906962415280345,0.9993535875888817,0.01
42,0.42,0.9993535875888817,0.8639908068620209,0.23328477785870358,0.22703575886628974,0.1280649436713055,0.9993535875888817,0.01
