,Weight,Absolute_Weight
57,2.2866047273874055,2.2866047273874055
75,-1.3564780454161067,1.3564780454161067
77,1.1793845276727215,1.1793845276727215
59,-1.118127620109066,1.118127620109066
58,-1.0194129679789383,1.0194129679789383
41,-0.7533146015475369,0.7533146015475369
46,-0.7306094688337397,0.7306094688337397
48,0.6528945873638616,0.6528945873638616
65,0.5997351769081076,0.5997351769081076
74,0.5876632626671097,0.5876632626671097
64,-0.5783647656699815,0.5783647656699815
78,0.4519964603149683,0.4519964603149683
73,-0.40677554023547946,0.40677554023547946
45,0.39543225285602734,0.39543225285602734
4,0.39359509499434897,0.39359509499434897
11,0.29125302572384404,0.29125302572384404
17,0.26635746208690586,0.26635746208690586
50,0.2597842510469467,0.2597842510469467
9,-0.2549228061985366,0.2549228061985366
2,-0.2470096348670536,0.2470096348670536
76,0.21255320054452287,0.21255320054452287
40,0.20468006089658344,0.20468006089658344
69,0.2042380462137096,0.2042380462137096
1,-0.1938069863685051,0.1938069863685051
30,0.18750653162195657,0.18750653162195657
39,-0.16922037809544538,0.16922037809544538
31,-0.15101901569116308,0.15101901569116308
25,-0.15039813583669293,0.15039813583669293
28,0.1486348609694499,0.1486348609694499
67,-0.14542803963049242,0.14542803963049242
72,-0.14542803963049242,0.14542803963049242
68,-0.14222151307271116,0.14222151307271116
43,-0.1381498167025874,0.1381498167025874
7,-0.13672818707770748,0.13672818707770748
42,0.12211848401202886,0.12211848401202886
49,0.11932653683469881,0.11932653683469881
27,0.11862954320564105,0.11862954320564105
70,0.11393573055239885,0.11393573055239885
56,-0.11360445649826521,0.11360445649826521
60,0.10102591839482279,0.10102591839482279
63,-0.09603263934228626,0.09603263934228626
22,-0.08827903454957732,0.08827903454957732
52,0.08475337331263329,0.08475337331263329
23,-0.08339250235488935,0.08339250235488935
5,0.08162261693818995,0.08162261693818995
24,0.0726840156838741,0.0726840156838741
54,-0.06319305390609721,0.06319305390609721
19,0.06207762373672811,0.06207762373672811
47,0.05712785211444682,0.05712785211444682
53,0.05435413134052813,0.05435413134052813
62,0.051671655923754396,0.051671655923754396
44,0.050849605656992106,0.050849605656992106
33,0.04280581309418024,0.04280581309418024
16,-0.04246698874870282,0.04246698874870282
51,-0.04201577966605156,0.04201577966605156
12,-0.041996566817702155,0.041996566817702155
13,0.040308024234834726,0.040308024234834726
81,0.03545968280113785,0.03545968280113785
0,0.03545968280113761,0.03545968280113761
37,0.03491734634424583,0.03491734634424583
18,-0.03429025762327559,0.03429025762327559
14,-0.03220480667231466,0.03220480667231466
10,-0.030211225859265247,0.030211225859265247
6,-0.027273186378769295,0.027273186378769295
36,0.022370625127082804,0.022370625127082804
35,-0.021828288670190488,0.021828288670190488
38,-0.021828288670190488,0.021828288670190488
61,-0.021205252175153046,0.021205252175153046
15,0.017232072906134047,0.017232072906134047
34,0.01448215837714823,0.01448215837714823
66,0.014089271563011423,0.014089271563011423
8,-0.013887134397582278,0.013887134397582278
29,0.010454931849249106,0.010454931849249106
26,0.007126003834083399,0.007126003834083399
71,0.004935458738233062,0.004935458738233062
20,0.004876536973016593,0.004876536973016593
21,0.0027957797146691147,0.0027957797146691147
55,0.001561011720125271,0.001561011720125271
3,0.0010585921041577693,0.0010585921041577693
32,-0.001027833129655634,0.001027833129655634
79,0.0,0.0
80,0.0,0.0
